animal_id,tow,samp_num,rcode,samp_grp,sex,size,shell,condition,sampfrac,chela,clutch,eggdev,clutchcon,maturity,parasite,samptime
705,19020002,1,68560,0,1,21.20,2,1,,2.90,0,0,0,0,0,2019-09-13 10:35:49
706,19020004,1,68020,0,1,175.80,3,0,,0.00,0,0,0,0,0,2019-09-13 16:00:21
707,19020004,2,68020,0,1,167.40,2,0,,0.00,0,0,0,0,0,2019-09-13 16:01:52
708,19020004,3,68020,0,1,167.90,2,0,,0.00,0,0,0,0,0,2019-09-13 16:02:44
709,19020005,1,68020,0,1,139.90,2,0,,0.00,0,0,0,0,0,2019-09-13 17:10:47
710,19020005,2,68020,0,1,169.00,2,0,,0.00,0,0,0,0,0,2019-09-13 17:12:15
711,19020005,3,68560,0,2,13.80,1,2,,0.00,0,0,1,1,0,2019-09-13 17:12:42
712,19020006,1,68020,0,1,159.90,2,0,,0.00,0,0,0,0,0,2019-09-13 17:17:39
713,19020006,1,68560,0,2,29.90,2,0,,0.00,0,0,0,1,0,2019-09-13 17:59:04
714,19020006,2,68020,0,2,127.10,2,0,,0.00,0,0,0,2,0,2019-09-13 17:54:41
715,19020007,2,68020,0,2,146.40,2,0,,0.00,0,0,0,2,0,2019-09-13 18:18:40
716,19020008,1,68020,0,1,171.40,1,0,,0.00,0,0,0,0,0,2019-09-13 19:02:38
717,19020008,2,68020,0,2,156.80,2,0,,0.00,0,0,0,2,0,2019-09-13 19:03:43
718,19020008,3,68020,0,2,137.80,2,0,,0.00,0,0,0,0,0,2019-09-13 19:04:31
719,19020008,4,68560,0,2,19.10,1,0,,0.00,0,0,0,0,0,2019-09-13 19:05:12
720,19020009,1,68560,0,1,13.10,2,2,,0.00,0,0,0,0,0,2019-09-14 08:24:06
721,19020009,2,68560,0,1,12.60,2,1,,0.00,0,0,0,0,0,2019-09-14 08:25:31
722,19020009,3,68560,0,1,11.40,2,2,,0.00,0,0,0,0,0,2019-09-14 08:26:03
723,19020009,4,68560,0,2,23.90,2,1,,0.00,0,0,0,1,0,2019-09-14 08:26:31
724,19020009,5,68560,0,0,14.40,2,1,,0.00,0,0,0,0,0,2019-09-14 08:27:26
725,19020009,6,68560,0,0,22.30,2,2,,0.00,0,0,0,0,0,2019-09-14 08:28:10
726,19020009,7,68560,0,0,22.10,2,2,,0.00,0,0,0,0,0,2019-09-14 08:28:34
727,19020011,1,68560,0,2,70.90,4,0,,0.00,3,1,1,2,0,2019-09-14 08:28:50
728,19020011,2,68560,0,1,23.30,2,0,,0.00,0,0,0,0,0,2019-09-14 10:05:45
729,19020011,3,68560,0,1,13.40,2,2,,0.00,0,0,0,0,0,2019-09-14 10:06:54
730,19020012,1,68560,0,1,109.00,4,0,,27.10,0,0,0,0,0,2019-09-14 10:07:29
731,19020012,2,68560,0,0,11.70,2,0,,0.00,0,0,0,0,0,2019-09-14 11:06:05
732,19020012,3,68560,0,0,12.70,2,1,,0.00,0,0,0,0,0,2019-09-14 11:07:06
733,19020012,4,68560,0,0,12.40,2,1,,0.00,0,0,0,0,0,2019-09-14 11:07:32
734,19020012,5,68560,0,2,30.90,2,1,,0.00,0,0,0,1,0,2019-09-14 11:07:44
735,19020012,6,68560,0,2,19.60,2,0,,0.00,0,0,0,1,0,2019-09-14 11:10:34
736,19020012,7,68560,0,2,32.10,2,0,,0.00,0,0,0,1,0,2019-09-14 11:10:55
737,19020012,8,68560,0,2,11.50,2,2,,0.00,0,0,0,1,0,2019-09-14 11:11:18
738,19020012,9,68560,0,2,19.70,2,1,,0.00,0,0,0,1,0,2019-09-14 11:11:47
739,19020012,10,68560,0,2,18.30,2,0,,0.00,0,0,0,1,0,2019-09-14 11:12:12
740,19020012,11,68560,0,2,12.20,2,1,,0.00,0,0,0,1,0,2019-09-14 11:12:41
741,19020013,1,68560,0,1,19.00,2,1,,0.00,0,0,0,0,0,2019-09-14 11:13:00
742,19020013,1,68020,0,1,172.20,2,0,,0.00,0,0,0,0,0,2019-09-14 11:58:44
743,19020014,1,68560,0,1,27.00,2,1,,0.00,0,0,0,0,0,2019-09-14 12:01:22
744,19020014,2,68560,0,1,8.70,2,0,,0.00,0,0,0,0,0,2019-09-14 12:54:08
745,19020014,3,68020,0,1,169.70,2,0,,0.00,0,0,0,0,0,2019-09-14 12:55:06
746,19020018,1,68020,0,1,164.40,2,0,,0.00,0,0,0,0,0,2019-09-14 15:33:43
747,19020019,1,68020,0,2,127.00,2,0,,0.00,0,0,0,2,0,2019-09-14 16:21:20
748,19020019,1,68560,0,1,19.90,2,0,,0.00,0,0,0,0,0,2019-09-14 16:22:28
749,19020019,1,68020,0,1,13.10,2,0,,0.00,0,0,0,0,0,2019-09-14 16:22:30
750,19020019,2,68020,0,1,13.20,2,1,,0.00,0,0,0,0,0,2019-09-14 16:26:15
751,19020019,3,68020,0,1,13.10,2,1,,0.00,0,0,0,0,0,2019-09-14 16:26:33
752,19020020,1,68020,0,2,135.60,2,0,,0.00,0,0,0,2,0,2019-09-14 16:26:53
753,19020020,2,68020,0,2,144.20,2,0,,0.00,0,0,0,2,0,2019-09-14 17:16:00
754,19020020,3,68020,0,2,133.80,3,0,,0.00,0,0,0,2,0,2019-09-14 17:17:17
755,19020020,4,68020,0,2,117.30,2,0,,0.00,0,0,0,2,0,2019-09-14 17:17:55
756,19020020,5,68020,0,1,172.10,2,0,,0.00,0,0,0,0,0,2019-09-14 17:18:03
757,19020020,6,68020,0,1,196.40,2,0,,0.00,0,0,0,0,0,2019-09-14 17:19:47
758,19020022,1,68020,0,2,119.80,4,0,,0.00,0,2,0,1,0,2019-09-14 18:24:11
759,19020022,2,68020,0,2,132.20,2,0,,0.00,0,0,0,2,0,2019-09-14 18:24:54
760,19020022,3,68020,0,2,143.10,2,0,,0.00,0,0,0,2,0,2019-09-14 18:25:21
761,19020022,4,68020,0,2,135.70,2,0,,0.00,0,0,0,2,0,2019-09-14 18:25:38
762,19020022,5,68020,0,2,127.30,2,0,,0.00,0,0,0,2,0,2019-09-14 18:25:49
763,19020022,6,68020,0,2,117.90,2,0,,0.00,0,0,0,2,0,2019-09-14 18:26:37
764,19020022,7,68020,0,1,195.10,2,0,,0.00,0,0,0,0,0,2019-09-14 18:27:02
765,19020022,8,68020,0,1,160.90,2,0,,0.00,0,0,0,0,0,2019-09-14 18:28:00
766,19020022,9,68020,0,1,172.40,3,0,,0.00,0,0,0,0,0,2019-09-14 18:28:50
767,19020023,1,68560,0,1,30.10,2,0,,0.00,0,0,0,0,0,2019-10-12 13:22:01
768,19020023,2,68560,0,1,33.10,1,0,,0.00,0,0,0,0,0,2019-10-12 13:23:52
769,19020024,1,68560,0,1,58.60,2,0,,0.00,0,0,0,0,0,2019-10-12 13:24:32
770,19020024,2,68560,0,2,62.60,2,0,,0.00,0,0,0,1,0,2019-10-12 14:12:48
771,19020024,3,68560,0,1,55.10,2,0,,0.00,0,0,0,0,0,2019-10-12 14:13:18
772,19020025,1,68560,0,2,16.20,2,0,,0.00,0,0,0,1,0,2019-10-12 14:13:39
773,19020026,1,68560,0,2,21.20,2,0,,0.00,0,0,0,1,0,2019-10-12 14:49:24
774,19020027,1,68560,0,1,21.10,2,0,,0.00,0,0,0,0,0,2019-10-12 15:30:29
775,19020028,1,68560,0,2,31.20,2,0,,0.00,0,0,0,1,0,2019-10-12 16:15:35
776,19020028,2,68560,0,2,13.20,2,0,,0.00,0,0,0,1,0,2019-10-12 16:56:27
777,19020028,3,68560,0,1,14.70,2,0,,0.00,0,0,0,0,0,2019-10-12 16:57:00
778,19020029,1,68560,0,2,31.10,2,0,,0.00,0,0,0,1,0,2019-10-12 16:57:19
779,19020029,2,68560,0,1,26.30,2,0,,0.00,0,0,0,0,0,2019-10-12 17:36:36
780,19020029,3,68560,0,2,26.30,2,0,,0.00,0,0,0,1,0,2019-10-12 17:36:54
781,19020029,4,68020,0,2,135.20,2,0,,0.00,0,0,0,0,0,2019-10-12 17:37:23
782,19020029,5,68020,0,2,144.00,2,0,,0.00,0,0,0,0,0,2019-10-12 17:38:29
